lower guild,upper guild,lower taxon,upper taxon,estimated interaction strength,direct interaction
plant,flower visitor,Cirsium arvense,Eristalis arbustorum,1.150E+03,1
plant,flower visitor,Cirsium arvense,Helophilus pendulus,1.306E+01,1
plant,flower visitor,Cirsium arvense,Heteronychia vagans,4.971E+01,1
plant,flower visitor,Cirsium arvense,Kuzinia sp,1.969E+01,1
plant,flower visitor,Cirsium arvense,Lasioglossum sp,8.909E+01,1
plant,flower visitor,Cirsium arvense,Lucilia caesar,9.941E+01,1
plant,flower visitor,Cirsium arvense,Lucilia sericata,3.939E+01,1
plant,flower visitor,Cirsium arvense,Melanostoma mellinum,1.306E+01,1
plant,flower visitor,Cirsium arvense,Melinda viridicyanea,4.971E+01,1
plant,flower visitor,Cirsium arvense,Neomyia cornicina,1.572E+03,1
plant,flower visitor,Cirsium arvense,Neomyia viridescens,4.971E+01,1
plant,flower visitor,Cirsium arvense,Pegoplata aestiva or Adia cinerella,1.969E+01,1
plant,flower visitor,Cirsium arvense,Pegoplata depilis,1.969E+01,1
plant,flower visitor,Cirsium arvense,Pierretia sp,1.969E+01,1
plant,flower visitor,Cirsium arvense,Platycheirus nielseni,1.969E+01,1
plant,flower visitor,Cirsium arvense,Polyommatus icarus,4.971E+01,1
plant,flower visitor,Cirsium arvense,Pyronia tithonus,9.941E+01,1
plant,flower visitor,Cirsium arvense,Rhagonycha fulva,8.709E+00,1
plant,flower visitor,Cirsium arvense,Rhingia campestris,1.150E+03,1
plant,flower visitor,Cirsium arvense,Rhinophora lepida,3.939E+01,1
plant,flower visitor,Cirsium arvense,Scathophaga stercoraria,8.432E+02,1
plant,flower visitor,Cirsium arvense,Siphona geniculata,3.331E+03,1
plant,flower visitor,Cirsium arvense,Sphaerophoria sp,6.940E+01,1
plant,flower visitor,Cirsium arvense,Tetramesa sp,4.971E+01,1
plant,flower visitor,Cirsium arvense,Theroscopus sp,3.939E+01,1
plant,flower visitor,Cirsium arvense,Tricimba cincta,4.971E+01,1
plant,flower visitor,Cirsium vulgare,Apis mellifera,1.742E+01,1
plant,flower visitor,Cirsium vulgare,Bombus lapidarius,2.594E+03,1
plant,flower visitor,Cirsium vulgare,Bombus pascuorum,2.395E+01,1
plant,flower visitor,Cirsium vulgare,Bombus terrestris,6.049E+02,1
plant,flower visitor,Cirsium vulgare,Empis livida,4.354E+01,1
plant,flower visitor,Cirsium vulgare,Oscinella frit,4.762E+02,1
plant,flower visitor,Cirsium vulgare,Pieris brassicae,6.049E+02,1
plant,flower visitor,Cirsium vulgare,Sepsis fulgens,7.476E+02,1
plant,flower visitor,Conolvulus/Calystegia,Bombus pascuorum,1.899E+01,1
plant,flower visitor,Conolvulus/Calystegia,Delia sp,5.252E+01,1
plant,flower visitor,Conolvulus/Calystegia,Empis livida,9.941E+01,1
plant,flower visitor,Conolvulus/Calystegia,Eupeodes luniger,4.971E+01,1
plant,flower visitor,Conolvulus/Calystegia,Melanostoma mellinum,4.971E+01,1
plant,flower visitor,Conolvulus/Calystegia,Oedemera nobilis,4.971E+01,1
plant,flower visitor,Conolvulus/Calystegia,Platycheirus albimanus,1.899E+01,1
plant,flower visitor,Conolvulus/Calystegia,Sphaerophoria sp,1.899E+01,1
plant,flower visitor,Cornus sanguinea,Empis livida,4.354E+01,1
plant,flower visitor,Cornus sanguinea,Rhagio tringarius,8.709E+00,1
plant,flower visitor,Crataegus monogyna,Andrena dorsata,6.532E+00,1
plant,flower visitor,Crataegus monogyna,Bombus pascuorum,3.939E+01,1
plant,flower visitor,Crataegus monogyna,Cantharis decipiens,1.969E+01,1
plant,flower visitor,Crataegus monogyna,Chlorops hypostigma,1.969E+01,1
plant,flower visitor,Crataegus monogyna,Chlorops pumilionis,2.613E+01,1
plant,flower visitor,Crataegus monogyna,Delia sp,1.306E+01,1
plant,flower visitor,Crataegus monogyna,Dilophus febrilis,1.969E+01,1
plant,flower visitor,Crataegus monogyna,Glyphipterix simpliciella,1.969E+01,1
plant,flower visitor,Crataegus monogyna,Malachius bipustulatus,3.919E+01,1
plant,flower visitor,Crataegus monogyna,Oedemera nobilis,1.306E+01,1
plant,flower visitor,Crataegus monogyna,Phyllonorycter sp,6.532E+00,1
plant,flower visitor,Crataegus monogyna,Platycheirus albimanus,2.623E+01,1
plant,flower visitor,Crataegus monogyna,Platypalpus sp,6.532E+00,1
plant,flower visitor,Crataegus monogyna,Scathophaga stercoraria,5.908E+01,1
plant,flower visitor,Galium aparine,Hylemya vagans,2.983E+02,1
plant,flower visitor,Galium aparine,Sciaridae sp,7.878E+01,1
plant,flower visitor,Galium odoratum,Hercostomus parvilamellatus,7.458E+01,1
plant,flower visitor,Geranium robertianum,Platycheirus albimanus,1.969E+01,1
plant,flower visitor,Geranium robertianum,Rhingia campestris,7.458E+01,1
plant,flower visitor,Heracleum sphondylium,Alysiinae sp,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Anaspis maculata,3.676E+02,1
plant,flower visitor,Heracleum sphondylium,Anaspis pulicaria,2.982E+02,1
plant,flower visitor,Heracleum sphondylium,Anthophila fabriciana,1.388E+02,1
plant,flower visitor,Heracleum sphondylium,Azelia zetterstedtii,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Botanophila striolata,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Calliphora vicina,5.908E+01,1
plant,flower visitor,Heracleum sphondylium,Cantharis nigra,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Cheilosia illustrata,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Chloromyia formosa,8.709E+00,1
plant,flower visitor,Heracleum sphondylium,Chlorops hypostigma,2.776E+02,1
plant,flower visitor,Heracleum sphondylium,Chlorops pumilionis,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Chorebus sp,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Delia sp,5.468E+02,1
plant,flower visitor,Heracleum sphondylium,Dicraeus vagans,3.976E+02,1
plant,flower visitor,Heracleum sphondylium,Diplonevra sp,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Empis chioptera,1.306E+01,1
plant,flower visitor,Heracleum sphondylium,Empis livida,3.770E+02,1
plant,flower visitor,Heracleum sphondylium,Eristalis pertinax,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Eudasyphora cyanella,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Fannia sp,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Formicidae A,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Glyphipterix simpliciella,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Grammoptera ruficornis,1.191E+02,1
plant,flower visitor,Heracleum sphondylium,Hemicrepidius hirtus,2.485E+02,1
plant,flower visitor,Heracleum sphondylium,Limnophora triangula,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Melinda viridicyanea,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Microchrysa polita,1.306E+01,1
plant,flower visitor,Heracleum sphondylium,Neomyia cornicina,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Pegoplata infirma,1.988E+02,1
plant,flower visitor,Heracleum sphondylium,Pionini sp,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Platycheirus scutatus,1.969E+01,1
plant,flower visitor,Heracleum sphondylium,Platypalpus sp,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Pteromalidae,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Scaptomyza pallida,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Scathophaga stercoraria,2.735E+02,1
plant,flower visitor,Heracleum sphondylium,Sciaridae sp,4.314E+03,1
plant,flower visitor,Heracleum sphondylium,Sepsis fulgens,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Sepsis orthocnemis,9.941E+01,1
plant,flower visitor,Heracleum sphondylium,Sepsis violacea,4.971E+01,1
plant,flower visitor,Heracleum sphondylium,Tersilochus sp,1.306E+01,1
plant,flower visitor,Heracleum sphondylium,Tiphia minuta,1.491E+02,1
plant,flower visitor,Heracleum sphondylium,Volucella bombylans,4.971E+01,1
plant,flower visitor,Lamiastrum galeobdolon,Platycheirus albimanus,7.458E+01,1
plant,flower visitor,Lamiastrum galeobdolon,Rhingia campestris,7.458E+01,1
plant,flower visitor,Lamium album,Bombus pascuorum,9.941E+01,1
plant,flower visitor,Lapsana communis,Pegoplata aestiva or Adia cinerella,1.969E+01,1
plant,flower visitor,Leontodon autumnalis,Asecodes coronis,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Botanophila striolata,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Delia sp,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Halticoptera sp,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Hexacola hexatoma,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Kleidotoma tetratoma,1.035E+04,1
plant,flower visitor,Leontodon autumnalis,Metopina sp,4.808E+03,1
plant,flower visitor,Leontodon autumnalis,Pegoplata aestiva or Adia cinerella,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Rhoptromeris heptoma,5.917E+03,1
plant,flower visitor,Leontodon autumnalis,Rhoptromeris rufiventris,1.479E+03,1
plant,flower visitor,Leontodon autumnalis,Tetrastichinae sp,2.958E+03,1
plant,flower visitor,Ligustrum vulgare,Anaspis maculata,1.492E+02,1
plant,flower visitor,Ligustrum vulgare,Dolerus haematodes,6.532E+00,1
plant,flower visitor,Ligustrum vulgare,Epuraea melanocephala,3.132E+03,1
plant,flower visitor,Matricaria recutita,Andrena minutula,9.941E+01,1
plant,flower visitor,Matricaria recutita,Anthomyia liturata,9.941E+01,1
plant,flower visitor,Matricaria recutita,Authonomus rubi,4.971E+01,1
plant,flower visitor,Matricaria recutita,Azelia cilipes,9.941E+01,1
plant,flower visitor,Matricaria recutita,Bellardia pandia,9.941E+01,1
plant,flower visitor,Matricaria recutita,Botanophila fugax,7.711E+02,1
plant,flower visitor,Matricaria recutita,Bruchus rufimanus,2.778E+03,1
plant,flower visitor,Matricaria recutita,Cantharis nigra,1.473E+03,1
plant,flower visitor,Matricaria recutita,Chrysotoxum bicinctum,9.941E+01,1
plant,flower visitor,Matricaria recutita,Delia sp,6.613E+03,1
plant,flower visitor,Matricaria recutita,Dolichopus festivus,2.778E+03,1
plant,flower visitor,Matricaria recutita,Empis livida,9.261E+03,1
plant,flower visitor,Matricaria recutita,Eristalis arbustorum,1.463E+03,1
plant,flower visitor,Matricaria recutita,Eristalis tenax,6.049E+02,1
plant,flower visitor,Matricaria recutita,Eudasyphora cyanella,6.049E+02,1
plant,flower visitor,Matricaria recutita,Eupeodes corollae,1.542E+03,1
plant,flower visitor,Matricaria recutita,Gastrophysa viridular,2.313E+03,1
plant,flower visitor,Matricaria recutita,Helophilus trivittatus,7.711E+02,1
plant,flower visitor,Matricaria recutita,Hydrellia griseola,1.900E+03,1
plant,flower visitor,Matricaria recutita,Hylaeus communis,6.049E+02,1
plant,flower visitor,Matricaria recutita,Melanostoma mellinum,1.284E+03,1
plant,flower visitor,Matricaria recutita,Neomyia cornicina,2.313E+03,1
plant,flower visitor,Matricaria recutita,Oedemera lurida,7.711E+02,1
plant,flower visitor,Matricaria recutita,Oedemera nobilis,1.473E+03,1
plant,flower visitor,Matricaria recutita,Olibrus aeneus,1.094E+03,1
plant,flower visitor,Matricaria recutita,Omphalapion hookerorum,6.963E+02,1
plant,flower visitor,Matricaria recutita,Opomyza germinationis,6.963E+02,1
plant,flower visitor,Matricaria recutita,Pegoplata aestiva or Adia cinerella,3.984E+03,1
plant,flower visitor,Matricaria recutita,Phasia obesa,1.542E+03,1
plant,flower visitor,Matricaria recutita,Phasia pusilla,6.049E+02,1
plant,flower visitor,Matricaria recutita,Platycheirus albimanus,1.383E+03,1
plant,flower visitor,Matricaria recutita,Platycheirus manicatus,7.711E+02,1
plant,flower visitor,Matricaria recutita,Platycheirus sp,7.711E+02,1
plant,flower visitor,Matricaria recutita,Pollenia amentaria,9.941E+01,1
plant,flower visitor,Matricaria recutita,Pollenia pediculata,1.599E+03,1
plant,flower visitor,Matricaria recutita,Pollenia rudis,7.910E+02,1
plant,flower visitor,Matricaria recutita,Rhagonycha fulva,2.982E+02,1
plant,flower visitor,Matricaria recutita,Rhinophora lepida,9.941E+01,1
plant,flower visitor,Matricaria recutita,Scaptomyza flava,6.656E+02,1
plant,flower visitor,Matricaria recutita,Scaptomyza pallida,1.301E+03,1
plant,flower visitor,Matricaria recutita,Scathophaga stercoraria,6.265E+03,1
plant,flower visitor,Matricaria recutita,Scatopsidae sp,2.418E+03,1
plant,flower visitor,Matricaria recutita,Sepsis fulgens,1.210E+03,1
plant,flower visitor,Matricaria recutita,Siphona geniculata,1.988E+02,1
plant,flower visitor,Matricaria recutita,Sphaerophoria menthastri,6.049E+02,1
plant,flower visitor,Matricaria recutita,Sphaerophoria scripta,4.942E+03,1
plant,flower visitor,Matricaria recutita,Sphaerophoria sp,5.189E+03,1
plant,flower visitor,Matricaria recutita,Stenodiplosis sp,9.941E+01,1
plant,flower visitor,Matricaria recutita,Syritta pipiens,6.049E+02,1
plant,flower visitor,Matricaria recutita,Thaumatomyia glabra,9.941E+01,1
plant,flower visitor,Medicago sativa ssp. sativa,Apis mellifera,1.710E+04,1
plant,flower visitor,Medicago sativa ssp. sativa,Bombus terrestris,1.140E+03,1
plant,flower visitor,Medicago sativa ssp. sativa,Gastrophysa viridular,1.140E+03,1
plant,flower visitor,Medicago sativa ssp. sativa,Rhingia campestris,1.140E+03,1
plant,flower visitor,Mentha arvensis,Apis mellifera,5.965E+02,1
plant,flower visitor,Mentha arvensis,Eristalis arbustorum,9.941E+01,1
plant,flower visitor,Mentha arvensis,Oedemera lurida,9.941E+01,1
plant,flower visitor,Mentha arvensis,Scathophaga stercoraria,3.939E+01,1
plant,flower visitor,Myosotis arvensis,Empis livida,7.476E+02,1
plant,flower visitor,Papaver sp.,Bombus lapidarius,2.290E+03,1
plant,flower visitor,Papaver sp.,Bombus terrestris,2.220E+03,1
plant,flower visitor,Papaver sp.,Delia sp,7.711E+02,1
plant,flower visitor,Papaver sp.,Empis livida,4.971E+01,1
plant,flower visitor,Papaver sp.,Oedemera nobilis,9.941E+01,1
plant,flower visitor,Papaver sp.,Platycheirus nielseni,7.711E+02,1
plant,flower visitor,Prunus spinosa,Scathophaga stercoraria,3.939E+01,1
plant,flower visitor,Ranunculus acris,Pegoplata aestiva or Adia cinerella,1.473E+03,1
plant,flower visitor,Ranunculus repens,Agriotes pallidulus,1.969E+01,1
plant,flower visitor,Ranunculus repens,Alysiinae sp,4.951E+02,1
plant,flower visitor,Ranunculus repens,Asecodes coronis,1.109E+03,1
plant,flower visitor,Ranunculus repens,Botanophila striolata,5.346E+02,1
plant,flower visitor,Ranunculus repens,Bracon sp,1.899E+01,1
plant,flower visitor,Ranunculus repens,Cantharis nigra,7.614E+02,1
plant,flower visitor,Ranunculus repens,Cecidomyiidae sp,3.702E+02,1
plant,flower visitor,Ranunculus repens,Cephus pygmaeus,5.841E+01,1
plant,flower visitor,Ranunculus repens,Ceraphron trissacantha,7.204E+02,1
plant,flower visitor,Ranunculus repens,Cheilosia albitarsis,7.753E+02,1
plant,flower visitor,Ranunculus repens,Chloromyia formosa,1.345E+03,1
plant,flower visitor,Ranunculus repens,Chorebus sp nov,1.479E+03,1
plant,flower visitor,Ranunculus repens,Chromatomyia nigra,4.971E+01,1
plant,flower visitor,Ranunculus repens,Chrysotus sp,4.971E+01,1
plant,flower visitor,Ranunculus repens,Delia sp,9.002E+03,1
plant,flower visitor,Ranunculus repens,Demetrias atricapillus,6.049E+02,1
plant,flower visitor,Ranunculus repens,Desmometopa sp,7.476E+02,1
plant,flower visitor,Ranunculus repens,Diplonevra sp,1.586E+03,1
plant,flower visitor,Ranunculus repens,Dolichopus festivus,6.870E+01,1
plant,flower visitor,Ranunculus repens,Empis livida,3.865E+03,1
plant,flower visitor,Ranunculus repens,Episyrphus balteatus,7.476E+02,1
plant,flower visitor,Ranunculus repens,Fannia sp,1.184E+02,1
plant,flower visitor,Ranunculus repens,Formicidae B,1.517E+03,1
plant,flower visitor,Ranunculus repens,Geomyza tripunctata,9.523E+02,1
plant,flower visitor,Ranunculus repens,Glyphipterix simpliciella,1.034E+03,1
plant,flower visitor,Ranunculus repens,Helina sp,7.396E+02,1
plant,flower visitor,Ranunculus repens,Hemicrepidius hirtus,4.971E+01,1
plant,flower visitor,Ranunculus repens,Hydrellia griseola,1.109E+03,1
plant,flower visitor,Ranunculus repens,Hydrellia maura,7.586E+02,1
plant,flower visitor,Ranunculus repens,Hylaeus hyalinatus,2.776E+02,1
plant,flower visitor,Ranunculus repens,Hylemya urbica/variata,4.762E+02,1
plant,flower visitor,Ranunculus repens,Hylemya vagans,4.971E+01,1
plant,flower visitor,Ranunculus repens,Hylemya variata,2.776E+02,1
plant,flower visitor,Ranunculus repens,Limnia unguicornis,1.306E+01,1
plant,flower visitor,Ranunculus repens,Lonchoptera lutea,6.546E+02,1
plant,flower visitor,Ranunculus repens,Lotophila atra,1.216E+03,1
plant,flower visitor,Ranunculus repens,Malachius bipustulatus,8.163E+02,1
plant,flower visitor,Ranunculus repens,Megaselia sp,1.899E+01,1
plant,flower visitor,Ranunculus repens,Melangyna sp,2.409E+03,1
plant,flower visitor,Ranunculus repens,Melanostoma mellinum,1.800E+03,1
plant,flower visitor,Ranunculus repens,Melanostoma sp,1.969E+01,1
plant,flower visitor,Ranunculus repens,Metopina sp,5.144E+03,1
plant,flower visitor,Ranunculus repens,Micropterix calthella,8.329E+02,1
plant,flower visitor,Ranunculus repens,Oedemera lurida,6.765E+02,1
plant,flower visitor,Ranunculus repens,Oedemera nobilis,2.276E+03,1
plant,flower visitor,Ranunculus repens,Opomyza germinationis,1.529E+03,1
plant,flower visitor,Ranunculus repens,Opomyza petrei,4.971E+01,1
plant,flower visitor,Ranunculus repens,Oscinella frit,3.038E+02,1
plant,flower visitor,Ranunculus repens,Oscinella hortensis,1.306E+01,1
plant,flower visitor,Ranunculus repens,Oscinella nigerrima,4.971E+01,1
plant,flower visitor,Ranunculus repens,Oscinella nitidissima,3.445E+02,1
plant,flower visitor,Ranunculus repens,Pegoplata aestiva or Adia cinerella,2.911E+04,1
plant,flower visitor,Ranunculus repens,Pegoplata infirma,9.941E+01,1
plant,flower visitor,Ranunculus repens,Phyllonorycter sp,9.941E+01,1
plant,flower visitor,Ranunculus repens,Phytomyza cineracea,9.941E+01,1
plant,flower visitor,Ranunculus repens,Phytomyza notata,4.762E+02,1
plant,flower visitor,Ranunculus repens,Platycheirus albimanus,7.723E+02,1
plant,flower visitor,Ranunculus repens,Platycheirus clypeatus,6.049E+02,1
plant,flower visitor,Ranunculus repens,Platypalpus sp,6.532E+00,1
plant,flower visitor,Ranunculus repens,Psallinae sp,4.762E+02,1
plant,flower visitor,Ranunculus repens,Pteromalidae,4.762E+02,1
plant,flower visitor,Ranunculus repens,Rhagio notatus,7.396E+02,1
plant,flower visitor,Ranunculus repens,Rhagio tringarius,1.479E+03,1
plant,flower visitor,Ranunculus repens,Rhagonycha fulva,4.971E+01,1
plant,flower visitor,Ranunculus repens,Rhingia campestris,2.776E+02,1
plant,flower visitor,Ranunculus repens,Rhoptromeris heptoma,1.479E+03,1
plant,flower visitor,Ranunculus repens,Saltella sphondylii,4.762E+02,1
plant,flower visitor,Ranunculus repens,Scathophaga stercoraria,6.814E+03,1
plant,flower visitor,Ranunculus repens,Scatopsidae sp,1.109E+03,1
plant,flower visitor,Ranunculus repens,Sciaridae sp,4.762E+02,1
plant,flower visitor,Ranunculus repens,Sepsis cynipsea or neocynipsea,9.523E+02,1
plant,flower visitor,Ranunculus repens,Sepsis fulgens,7.396E+02,1
plant,flower visitor,Ranunculus repens,Siphona geniculata,1.159E+03,1
plant,flower visitor,Ranunculus repens,Sphaerophoria sp,2.844E+03,1
plant,flower visitor,Ranunculus repens,Stenomalina sp,2.409E+03,1
plant,flower visitor,Ranunculus repens,Tetrastichinae sp,1.479E+03,1
plant,flower visitor,Ranunculus repens,Triphleba sp,1.122E+03,1
plant,flower visitor,Ranunculus repens,Tytthaspis sedecimpunctata,1.899E+01,1
plant,flower visitor,Rosa sp.,Anaspis maculata,3.939E+01,1
plant,flower visitor,Rosa sp.,Anaspis pulicaria,2.363E+02,1
plant,flower visitor,Rosa sp.,Byturus tomentosus,3.939E+01,1
plant,flower visitor,Rosa sp.,Epuraea melanocephala,1.576E+02,1
plant,flower visitor,Rosa sp.,Pegoplata aestiva or Adia cinerella,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Anaspis pulicaria,4.971E+01,1
plant,flower visitor,Rubus fruticosus,Apis mellifera,4.136E+02,1
plant,flower visitor,Rubus fruticosus,Baccha elongate,7.458E+01,1
plant,flower visitor,Rubus fruticosus,Bombus hortorum,4.971E+01,1
plant,flower visitor,Rubus fruticosus,Bombus lapidarius,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Bombus pascuorum,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Bombus terrestris,5.908E+01,1
plant,flower visitor,Rubus fruticosus,Brachypterus urticae,9.941E+01,1
plant,flower visitor,Rubus fruticosus,Cantharis nigra,7.878E+01,1
plant,flower visitor,Rubus fruticosus,Cephus pygmaeus,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Chrysotus sp,2.134E+02,1
plant,flower visitor,Rubus fruticosus,Coccinella septempunctata,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Crossopalpus sp,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Empis livida,4.361E+02,1
plant,flower visitor,Rubus fruticosus,Episyrphus balteatus,1.885E+02,1
plant,flower visitor,Rubus fruticosus,Eristalis pertinax,1.337E+02,1
plant,flower visitor,Rubus fruticosus,Fannia sp,9.941E+01,1
plant,flower visitor,Rubus fruticosus,Hylemya variata,7.458E+01,1
plant,flower visitor,Rubus fruticosus,Ichneumonidae,1.969E+01,1
plant,flower visitor,Rubus fruticosus,Malthodes minimus,3.939E+01,1
plant,flower visitor,Rubus fruticosus,Melanostoma scalare,1.182E+02,1
